Nothing,OMAZ,DMAZ,BIKE_LOGSUM,BIKE_TIME
1001848,1997,8749,-1.104,11.576
1001857,2177,3168,-5.4,10.337
1001860,1920,11135,-4.225,11.412
1001866,2225,1683,-0.403,2.354
1001869,2218,1900,4.046,1.409
1001872,2039,7449,-1.639,11.151
1001873,2275,133,-2.091,8.227
1001874,1920,11138,-5.068,11.921
1001879,2104,5433,0.037,10.372
1001881,2066,6611,-0.664,3.413
1001882,1920,11137,-4.87,9.782
1001883,2275,132,-3.276,6.84
1001885,2253,809,-0.277,4.61
1001892,1997,8745,-1.932,11.198
1001894,2171,3350,-1.265,5.096
1001899,1991,8930,-0.354,7.78
1001900,2279,2,-0.444,8.744
1001903,1920,11134,-2.679,10.567
1001912,2064,6670,-4.524,12.282
1001915,2251,872,-1.171,3.729
1001917,2189,2794,-1.818,8.398
1001921,2064,6669,0.303,1.7
1001922,1920,11133,-1.516,7.117
1001924,2250,898,-5.068,11.691
1001931,2184,2944,-3.634,7.333
1001933,2037,7501,-0.559,3.193
1001934,2189,2788,-0.79,6.656
1001938,2251,866,0.148,2.027
1001939,2238,1269,-1.113,12.232
1001940,2217,1920,2.745,6.002
1001941,2177,3160,-4.979,9.636
1001944,2238,1272,-0.817,11.964
1001949,2177,3163,-0.886,1.356
1001953,2250,899,3.63,3.693
1001956,2066,6603,-2.888,5.491
1001958,1997,8742,-0.891,5.4
1001965,2171,3342,-1.251,6.634
1001970,2184,2942,-2.095,6.612
1001971,2189,2787,-1.035,8.397
1001991,2189,2781,3.725,1.037
1001999,2253,796,-5.105,11.541
1002007,2218,1884,0.176,5.168
1002008,2246,1016,0.892,10.172
1002011,2171,3341,-0.07,5.403
1002012,2119,4953,-6.454,13.452
1002019,2250,891,-2.817,6.111
1002020,2225,1666,-3.917,10.326
1002024,2006,8455,-1.518,8.716
1002026,2049,7122,0.816,8.191
1002041,2008,8388,0.029,6.113
1002042,1991,8915,-4.843,12.59
1002045,2253,792,-1.941,10.851
1002060,2253,795,-0.554,2.265
1002072,2177,3150,-2.376,12.548
1002084,2218,1874,-0.679,6.762
1002089,2037,7485,-5.046,12.241
1002094,2177,3144,-4.685,12.921
1002104,2008,8386,-0.678,6.001
1002111,2184,2929,-1.058,6.671
1002116,2218,1870,-1.887,6.486
1002121,2217,1901,1.1,8.972
1002129,2241,1156,-1.766,11.592
1002130,2217,1900,-0.97,6.518
1002134,2275,102,-0.126,2.923
1002137,2189,2768,-2.018,12.18
1002138,2171,3326,-1.073,6.326
1002146,2085,5995,-2.048,6.117
1002157,1985,9095,-2.254,14.091
1002160,2253,786,-5.529,12.191
1002179,2225,1649,-2.557,3.076
1002185,2275,99,-1.935,6.643
1002193,2177,3136,-4.762,10.076
1002198,2008,8375,-3.085,10.685
1002214,2078,6208,-2.451,6.541
